kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date
aten_embedding_bag_counts_cpu,7761.439999,21047.926400,2.711858,N=16777216_E=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6_CUB,2026-09-06
aten_elu,641.568,4707.037,7.337,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_elu_backward,1146.048,8557.318,7.467,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_erf,637.440,4691.459,7.360,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_erfc,637.856,4680.016,7.337,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_exp,1622.656,1675.581,1.033,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_exp2,633.440,4671.706,7.375,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_expm1,632.608,4677.162,7.393,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_flatten_nd_linear_cpu,1115.488,1157.059,1.037,N=242_K=323_B=81_M=161,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_floor,1562.272,1710.739,1.095,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_fmax,881.728,6654.192,7.547,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_fmin,887.904,6682.522,7.526,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_fmod,949.280,6791.219,7.154,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_frac,652.576,4708.326,7.215,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu,637.792,4674.125,7.329,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_backward_cpu_exact,1139.872,8657.059,7.595,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_backward_cpu_tanh,7126.400,14368.563,2.016,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_cpu_exact,627.968,4667.242,7.432,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_gelu_cpu_tanh,632.256,4664.192,7.377,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_glu,1074.144,6884.490,6.409,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_glu_backward,1439.808,8901.302,6.182,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_glu_jvp,1838.272,11005.802,5.987,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardshrink,636.480,4703.408,7.390,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardsigmoid,650.272,4706.509,7.238,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardsigmoid_backward,891.296,6669.328,7.483,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardswish,640.352,4714.131,7.362,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardswish_backward,1151.008,8622.880,7.492,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardtanh,635.520,4683.222,7.369,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hardtanh_backward,890.304,6683.958,7.507,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hspmm_cpu,353.312000,2057.155200,5.822489,R=64_C=4096_N=4096,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_huber_backward,883.552,6666.742,7.545,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_huber_elementwise,892.800,6644.016,7.442,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_hypot,884.512,6667.645,7.538,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_int_mm_out_cpu,115.200,110.282,0.957,M=512_N=512_K=1024,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_leaky_relu,644.864,4698.758,7.286,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_lerp,1179.328,8579.271,7.275,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_lerp_scalar,902.368,6676.563,7.399,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_lerp_scalar_cpu,891.904,6660.157,7.467,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_lerp_tensor_cpu,1150.528,8615.158,7.488,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_log,1301.664,1492.877,1.147,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_log10,642.560,4670.922,7.269,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_log1p,635.136,4710.560,7.417,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_log2,643.168,4692.352,7.296,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_log_normal_cpu,639.712,4730.816,7.395,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_log_sigmoid_backward_cpu,1458.112,8873.126,6.085,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_logaddexp,893.536,6700.787,7.499,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_logaddexp2,887.040,6694.672,7.547,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_logit,642.816,4712.502,7.331,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_logit_backward,1084.608,6854.397,6.320,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_masked_scale,640.384,4702.710,7.344,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_maximum,894.176,6689.267,7.481,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_minimum,879.456,6693.808,7.611,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_mish,1355.232,1392.656,1.028,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_mish_backward,1144.448,8647.005,7.556,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_mse_backward,888.800,6721.702,7.563,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_mse_elementwise,892.640,6602.653,7.397,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_mul,891.008,6655.917,7.470,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_narrow_copy_dense_cpu,81.504,645.789,7.923,R=1448_C=2896_L=724,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_neg,1278.304,1338.310,1.047,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_nested_clone_cpu,213.216,1750.474,8.210,N=5793_B=724,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_nested_matmul_broadcast_cpu,1021.664,1097.078,1.074,N=222_K=266_B=89_M=178,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_nested_squeeze_cpu,206.848,1660.346,8.027,N=5693_B=710,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_nested_sum_backward_cpu,758.560,2985.360,3.936,B=724_N=5793,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_normal_cpu,636.672,4699.552,7.381,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_pixel_shuffle,1375.712,1672.867,1.216,B=9_C=14_H=19_R=9_W=19,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_pixel_shuffle_cpu_backend,1397.472,1707.885,1.222,B=4_C=13_H=32_RATIO=9_W=32,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_pixel_unshuffle_cpu_backend,1356.160,1420.617,1.048,B=4_C=13_H=32_RATIO=9_W=32,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_polar_scalarized,1783.360,13227.107,7.417,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_pow,913.664,6754.771,7.393,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_pow_tensor_scalar,714.176,4751.597,6.653,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_quant_col_offsets_cpu,6488.127998,19265.692801,2.969376,K=1048576_N=48,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_reciprocal,1351.776,1385.632,1.025,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_relu,1361.600,1375.034,1.010,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_round,634.016,4722.304,7.448,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_round_decimals,644.800,4674.240,7.249,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_rsqrt,644.992,4739.475,7.348,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sampled_addmm_sparse_csr_cpu,19264.608002,53650.092800,2.784904,R=4096_K=512_C=4096_NNZ=262144,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_shrink_backward,888.288,6735.155,7.582,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sigmoid,1326.688,1360.781,1.026,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sigmoid_backward,1080.192,6868.125,6.358,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_silu,1333.344,1376.928,1.033,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_silu_backward,1077.792,6954.749,6.453,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_silu_cpu,1340.384,1372.806,1.024,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sin,1399.360,1420.134,1.015,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sinh,1357.056,1373.920,1.012,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_smooth_l1_backward,886.784,6720.237,7.578,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_smooth_l1_elementwise,884.672,6686.944,7.559,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_softplus,1254.144,8768.781,6.992,N=8388608,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_softplus_backward,1144.928,8692.320,7.592,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_softshrink,648.864,4703.542,7.249,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sparse_add_values_cpu,881.952,6658.973,7.550,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sparse_addmm_cpu,351.135998,2061.603200,5.871239,R=64_C=4096_N=4096,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_sparse_addmv_bsr_cpu,2260.832001,2748.441600,1.215677,R=4096_C=4096_BR=4_BC=4_N=262144,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_sparse_addmv_csr_cpu,991.200001,6599.436799,6.658027,R=65536_C=65536_N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_sparse_coo_to_csr_cpu,574.591999,956.457600,1.664586,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_sparse_csr_addmm_cpu,16970.464001,34844.960000,2.053271,R=65536_K=65536_C=64_N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_sparse_intersection_apply_cpu,884.128,6708.531,7.588,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sparse_intersection_launch_cpu,892.032,6675.158,7.483,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sparse_matmul_csr_to_coo_cpu,846.688000,1290.659201,1.524362,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06
aten_sparse_mul_cpu,893.088,6665.910,7.464,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_sqrt,1315.936,1399.648,1.064,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_square,638.400,4680.602,7.332,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_stack_serial_cpu,1376.768,1613.130,1.172,K=406_R=203_T=51,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_tan,1385.856,1432.362,1.034,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_tanh,1308.608,1366.934,1.045,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_tanh_backward,882.976,6664.902,7.548,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_threshold_backward,883.200,6674.614,7.557,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_transpose_copy,1451.456,1593.674,1.098,M=2365_N=1774,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_trunc,634.880,4749.651,7.481,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_unbind_copy_cpu,207.776,1743.715,8.392,N=8192_B=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_uniform_cpu,635.680,4734.890,7.449,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
aten_zeros_cpu,117.920,609.978,5.173,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30
